Unnamed: 0,Ocupaciones,Habilidades
285,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ","1-8-9: instalar, mantener y reparar equipos eléctricos, electrónicos y de precisión "
286,8-2: Ensambladores ,1-6-8: utilizar herramientas manuales 
287,5-3: Trabajadores de los cuidados personales ,1-3-6: preparar y servir alimentos y bebidas 
288,8-1: Operadores de instalaciones fijas y máquinas ,1-6-4: transformar y mezclar materiales 
289,4-1: Oficinistas ,1-8-3: conducir vehículos 
290,2-2: Profesionales de la salud ,1-6-10: manipular animales 
291,1-3: Directores y gerentes de producción y operaciones ,1-1-2: negociar 
292,8-2: Ensambladores ,1-6-8: utilizar herramientas manuales 
293,2-2: Profesionales de la salud ,1-5-3: configurar y proteger sistemas informáticos 
294,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-2: ofrecer orientación 
295,5-2: Vendedores ,1-3-2: ofrecer orientación 
296,5-2: Vendedores ,1-6-11: limpiar 
297,1-3: Directores y gerentes de producción y operaciones ,1-4-2: desarrollar objetivos y estrategias 
298,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-6-5: ocuparse de plantas y cultivos 
299,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ","1-1-7: promocionar, vender y comprar "
300,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-3-1: prestar asistencia y cuidados 
301,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,1-7-1: construir 
302,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-1-5: presentar información 
303,"7-5: Operarios y oficiales de procesamiento de alimentos, de la confección, ebanistas, otros artesanos y afines ",1-2-5: procesar información 
304,"6-2: Trabajadores forestales calificados, pescadores y cazadores ",1-1-10: solucionar problemas 
305,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ","1-2-2: realizar estudios, investigaciones y análisis "
306,"9-3: Peones de la minería, la construcción, la industria manufacturera y el transporte ",1-6-3: mover y elevar 
307,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,1-7-1: construir 
308,4-4: Otro personal de apoyo administrativo ,1-6-10: manipular animales 
309,"6-2: Trabajadores forestales calificados, pescadores y cazadores ",1-6-3: mover y elevar 
310,6-1: Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado ,"1-2-9: realizar seguimiento, inspección y ensayos "
311,4-2: Empleados en trato directo con el público ,1-4-2: desarrollar objetivos y estrategias 
312,"6-2: Trabajadores forestales calificados, pescadores y cazadores ","1-1-7: promocionar, vender y comprar "
313,9-5: Vendedores ambulantes de servicios y afines ,1-1-2: negociar 
314,9-1: Limpiadores y asistentes ,1-3-6: preparar y servir alimentos y bebidas 
315,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ",1-1-3: actuar como enlace y crear redes de contactos 
316,4-1: Oficinistas ,1-8-3: conducir vehículos 
317,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,1-2-7: calcular y estimar 
318,9-5: Vendedores ambulantes de servicios y afines ,1-3-6: preparar y servir alimentos y bebidas 
319,"2-6: Profesionales en derecho, en ciencias sociales y culturales ",1-2-3: documentar y registrar información 
320,"1-1: Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos legislativos ",1-2-4: gestionar información 
321,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ",1-6-10: manipular animales 
322,4-2: Empleados en trato directo con el público ,1-3-1: prestar asistencia y cuidados 
323,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-5-3: configurar y proteger sistemas informáticos 
324,3-2: Profesionales de nivel medio de la salud ,"1-2-2: realizar estudios, investigaciones y análisis "
325,"6-3: Trabajadores agropecuarios, pescadores, cazadores y recolectores de subsistencia ","1-4-3: organizar, planificar y programar trabajo y actividades "
326,6-1: Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado ,1-3-6: preparar y servir alimentos y bebidas 
327,7-4: Trabajadores especializados en electricidad y la electrotecnología ,"1-8-9: instalar, mantener y reparar equipos eléctricos, electrónicos y de precisión "
328,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ","1-1-7: promocionar, vender y comprar "
329,5-1: Trabajadores de los servicios personales ,1-3-2: ofrecer orientación 
330,5-4: Personal de los servicios de protección ,1-4-2: desarrollar objetivos y estrategias 
331,5-2: Vendedores ,1-3-6: preparar y servir alimentos y bebidas 
332,5-2: Vendedores ,1-6-3: mover y elevar 
333,2-3: Profesionales de la enseñanza ,"1-4-3: organizar, planificar y programar trabajo y actividades "
334,5-1: Trabajadores de los servicios personales ,1-3-2: ofrecer orientación 
335,6-1: Agricultores y trabajadores calificados de explotaciones agropecuarias con destino al mercado ,1-2-8: analizar y evaluar información y datos 
336,9-5: Vendedores ambulantes de servicios y afines ,1-2-6: medir propiedades físicas 
337,4-2: Empleados en trato directo con el público ,1-3-7: prestar cuidados personales en general 
338,5-1: Trabajadores de los servicios personales ,1-3-6: preparar y servir alimentos y bebidas 
339,9-4: Ayudantes de preparación de alimentos ,"1-2-9: realizar seguimiento, inspección y ensayos "
340,3-2: Profesionales de nivel medio de la salud ,1-3-2: ofrecer orientación 
341,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-5-1: trabajar con ordenadores 
342,8-1: Operadores de instalaciones fijas y máquinas ,"1-6-9: colocar materiales, herramientas o equipos "
343,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ",1-3-7: prestar cuidados personales en general 
344,2-2: Profesionales de la salud ,1-1-13: escribir y redactar 
345,"2-6: Profesionales en derecho, en ciencias sociales y culturales ",1-1-4: enseñar y formar 
346,"6-2: Trabajadores forestales calificados, pescadores y cazadores ","1-1-7: promocionar, vender y comprar "
347,"1-1: Directores ejecutivos, personal directivo de la administración pública y miembros del poder ejecutivo y de los cuerpos legislativos ",1-8-2: operar maquinaria móvil 
348,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-6-12: lavar y mantener textiles y prendas de vestir 
349,7-1: Oficiales y operarios de la construcción excluyendo electricistas ,1-1-14: actuar y entretener 
350,4-4: Otro personal de apoyo administrativo ,1-4-1: capacidades de gestión 
351,5-1: Trabajadores de los servicios personales ,1-1-6: prestar asesoramiento y consultoría 
352,7-4: Trabajadores especializados en electricidad y la electrotecnología ,1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
353,2-4: Especialistas en organización de la administración pública y de empresas ,1-1-10: solucionar problemas 
354,4-1: Oficinistas ,1-8-7: utilizar instrumentos y equipos de precisión 
355,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-5-3: configurar y proteger sistemas informáticos 
356,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
357,4-4: Otro personal de apoyo administrativo ,1-1-3: actuar como enlace y crear redes de contactos 
358,"2-6: Profesionales en derecho, en ciencias sociales y culturales ",1-4-1: capacidades de gestión 
359,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,"1-4-3: organizar, planificar y programar trabajo y actividades "
360,5-1: Trabajadores de los servicios personales ,1-3-2: ofrecer orientación 
361,7-4: Trabajadores especializados en electricidad y la electrotecnología ,1-2-6: medir propiedades físicas 
362,"2-6: Profesionales en derecho, en ciencias sociales y culturales ","1-1-1: comunicación, colaboración y creatividad "
363,1-2: Directores administradores y comerciales ,1-1-5: presentar información 
364,9-5: Vendedores ambulantes de servicios y afines ,1-3-6: preparar y servir alimentos y bebidas 
365,8-2: Ensambladores ,"1-4-3: organizar, planificar y programar trabajo y actividades "
366,1-3: Directores y gerentes de producción y operaciones ,1-1-4: enseñar y formar 
367,"9-2: Peones agropecuarios, pesqueros y forestales ",1-6-11: limpiar 
368,4-3: Empleados contables y encargados del registro de materiales ,1-2-1: competencias en materia de información 
369,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,1-1-6: prestar asesoramiento y consultoría 
370,1-2: Directores administradores y comerciales ,1-1-10: solucionar problemas 
371,1-3: Directores y gerentes de producción y operaciones ,1-6-12: lavar y mantener textiles y prendas de vestir 
372,9-5: Vendedores ambulantes de servicios y afines ,1-6-6: ensamblar y fabricar productos 
373,7-4: Trabajadores especializados en electricidad y la electrotecnología ,"1-8-9: instalar, mantener y reparar equipos eléctricos, electrónicos y de precisión "
374,2-2: Profesionales de la salud ,"1-2-2: realizar estudios, investigaciones y análisis "
375,2-1: Profesionales de las ciencias y de la ingeniería ,1-1-13: escribir y redactar 
376,4-3: Empleados contables y encargados del registro de materiales ,1-4-10: tomar decisiones 
377,1-3: Directores y gerentes de producción y operaciones ,1-4-8: reclutar y contratar 
378,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ",1-7-3: instalar infraestructura interior o exterior 
379,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ","1-2-9: realizar seguimiento, inspección y ensayos "
380,5-1: Trabajadores de los servicios personales ,1-3-6: preparar y servir alimentos y bebidas 
381,1-2: Directores administradores y comerciales ,1-1-4: enseñar y formar 
382,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,1-1-13: escribir y redactar 
383,"2-6: Profesionales en derecho, en ciencias sociales y culturales ",1-4-5: realizar tareas administrativas 
384,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
385,"1-4: Gerentes de hoteles, restaurantes, comercios y otros servicios ",1-4-2: desarrollar objetivos y estrategias 
386,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-1-11: diseñar sistemas y productos 
387,7-3: Artesanos y operarios de las artes gráficas ,1-7-2: construir y repara estructuras 
388,7-3: Artesanos y operarios de las artes gráficas ,1-7-1: construir 
389,3-5: Técnicos de la tecnología de la información y las comunicaciones ,1-7-3: instalar infraestructura interior o exterior 
390,8-1: Operadores de instalaciones fijas y máquinas ,1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
391,2-5: Profesionales de tecnología de la información y las comunicaciones ,"1-2-2: realizar estudios, investigaciones y análisis "
392,2-1: Profesionales de las ciencias y de la ingeniería ,1-2-1: competencias en materia de información 
393,5-1: Trabajadores de los servicios personales ,1-3-2: ofrecer orientación 
394,5-3: Trabajadores de los cuidados personales ,1-1-6: prestar asesoramiento y consultoría 
395,9-5: Vendedores ambulantes de servicios y afines ,1-1-6: prestar asesoramiento y consultoría 
396,2-1: Profesionales de las ciencias y de la ingeniería ,1-6-4: transformar y mezclar materiales 
397,4-4: Otro personal de apoyo administrativo ,1-4-10: tomar decisiones 
398,"6-2: Trabajadores forestales calificados, pescadores y cazadores ",1-6-10: manipular animales 
399,2-3: Profesionales de la enseñanza ,1-5-2: programar sistemas informáticos 
400,9-5: Vendedores ambulantes de servicios y afines ,"1-1-7: promocionar, vender y comprar "
401,2-4: Especialistas en organización de la administración pública y de empresas ,1-1-6: prestar asesoramiento y consultoría 
402,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,1-7-1: construir 
403,3-1: Profesionales de las ciencias y la ingeniería de nivel medio ,1-4-9: supervisar a personas 
404,5-2: Vendedores ,1-3-5: facilitar información y apoyo al público y a los clientes 
405,9-5: Vendedores ambulantes de servicios y afines ,"1-2-9: realizar seguimiento, inspección y ensayos "
406,3-2: Profesionales de nivel medio de la salud ,1-3-7: prestar cuidados personales en general 
407,3-3: Profesionales de nivel medio en operaciones financieras y administrativas ,1-3-6: preparar y servir alimentos y bebidas 
408,5-2: Vendedores ,1-3-7: prestar cuidados personales en general 
409,2-5: Profesionales de tecnología de la información y las comunicaciones ,1-5-2: programar sistemas informáticos 
410,"9-2: Peones agropecuarios, pesqueros y forestales ",1-8-5: operar maquinaria para la extracción y la transformación de materias primas 
411,"7-2: Oficiales y operarios de la metalurgia, la construcción mecánica y afines ",1-6-6: ensamblar y fabricar productos 
